kernel,seq_len,head_dim,iterations,elapsed_ms,gflops,bandwidth_gb_s,checksum
sequential,128,64,25,212.154,0.503906,0.077227,0
parallel_128,128,64,25,17.7181,6.03369,0.924704,0
sequential,256,64,25,839.42,0.506498,0.0546511,0
parallel_128,256,64,25,23.2083,18.3195,1.97667,0
sequential,512,64,25,3297.38,0.51427,0.0437254,0
parallel_128,512,64,25,42.5295,39.8722,3.3901,0
sequential,1024,64,25,13251,0.511141,0.0375875,0
parallel_128,1024,64,25,97.8366,69.2292,5.09087,0
sequential,2048,64,25,53065.4,0.51018,0.0345801,0
parallel_128,2048,64,25,268.871,100.691,6.82487,0
